day,month,year,cases,geoId
3,3,2020,1,AD
27,1,2020,1,AE
25,2,2020,1,AF
15,3,2020,1,AG
27,3,2020,2,AI
9,3,2020,2,AL
1,3,2020,1,AM
22,3,2020,2,AO
4,3,2020,1,AR
26,2,2020,2,AT
25,1,2020,1,AU
13,3,2020,2,AW
29,2,2020,1,AZ
6,3,2020,2,BA
18,3,2020,1,BB
9,3,2020,3,BD
4,2,2020,1,BE
11,3,2020,2,BF
8,3,2020,2,BG
24,2,2020,1,BH
1,4,2020,2,BI
17,3,2020,1,BJ
20,3,2020,2,BM
10,3,2020,1,BN
12,3,2020,2,BO
2,4,2020,2,BQ
26,2,2020,1,BR
16,3,2020,1,BS
6,3,2020,1,BT
1,4,2020,3,BW
28,2,2020,1,BY
24,3,2020,1,BZ
26,1,2020,1,CA
11,3,2020,1,CD
16,3,2020,1,CF
16,3,2020,1,CG
26,2,2020,1,CH
12,3,2020,1,CI
4,3,2020,1,CL
7,3,2020,1,CM
31,12,2019,27,CN
7,3,2020,1,CO
7,3,2020,1,CR
12,3,2020,3,CU
21,3,2020,2,CV
13,3,2020,1,CW
10,3,2020,2,CY
2,3,2020,3,CZ
28,1,2020,1,DE
19,3,2020,1,DJ
27,2,2020,1,DK
23,3,2020,1,DM
2,3,2020,1,DO
26,2,2020,1,DZ
1,3,2020,1,EC
28,2,2020,1,EE
15,2,2020,1,EG
26,4,2020,6,EH
27,2,2020,1,EL
22,3,2020,1,ER
1,2,2020,1,ES
14,3,2020,1,ET
30,1,2020,1,FI
20,3,2020,1,FJ
4,4,2020,1,FK
6,3,2020,1,FO
25,1,2020,3,FR
13,3,2020,1,GA
23,3,2020,1,GD
27,2,2020,1,GE
20,3,2020,1,GG
13,3,2020,2,GH
20,3,2020,10,GI
20,3,2020,2,GL
18,3,2020,1,GM
14,3,2020,1,GN
15,3,2020,1,GQ
15,3,2020,1,GT
19,3,2020,3,GU
27,3,2020,2,GW
13,3,2020,1,GY
12,3,2020,2,HN
26,2,2020,1,HR
20,3,2020,2,HT
5,3,2020,2,HU
2,3,2020,2,ID
1,3,2020,1,IE
22,2,2020,1,IL
21,3,2020,1,IM
30,1,2020,1,IN
25,2,2020,1,IQ
20,2,2020,2,IR
29,2,2020,1,IS
31,1,2020,3,IT
20,3,2020,5,JE
12,3,2020,2,JM
3,3,2020,1,JO
15,1,2020,1,JP
5,2,2020,10,JPG11668
14,3,2020,1,KE
19,3,2020,3,KG
28,1,2020,1,KH
2,5,2020,1,KM
26,3,2020,2,KN
20,1,2020,1,KR
24,2,2020,3,KW
20,3,2020,1,KY
15,3,2020,6,KZ
25,3,2020,2,LA
22,2,2020,1,LB
15,3,2020,2,LC
5,3,2020,1,LI
28,1,2020,1,LK
17,3,2020,1,LR
15,5,2020,1,LS
28,2,2020,1,LT
1,3,2020,1,LU
3,3,2020,1,LV
25,3,2020,1,LY
3,3,2020,1,MA
29,2,2020,1,MC
8,3,2020,1,MD
18,3,2020,2,ME
21,3,2020,3,MG
29,10,2020,1,MH
27,2,2020,1,MK
26,3,2020,2,ML
24,3,2020,2,MM
10,3,2020,1,MN
31,3,2020,2,MP
15,3,2020,1,MR
21,3,2020,1,MS
7,3,2020,1,MT
20,3,2020,3,MU
8,3,2020,2,MV
3,4,2020,3,MW
14,1,2020,1,MX
25,1,2020,3,MY
23,3,2020,1,MZ
15,3,2020,2,NA
21,3,2020,2,NC
21,3,2020,1,NE
28,2,2020,1,NG
19,3,2020,1,NI
28,2,2020,1,NL
27,2,2020,1,NO
25,1,2020,1,NP
28,2,2020,1,NZ
25,2,2020,2,OM
10,3,2020,1,PA
7,3,2020,1,PE
19,3,2020,3,PF
21,3,2020,1,PG
30,1,2020,1,PH
27,2,2020,2,PK
4,3,2020,1,PL
28,3,2020,64,PR
6,3,2020,7,PS
3,3,2020,2,PT
8,3,2020,1,PY
1,3,2020,1,QA
27,2,2020,1,RO
7,3,2020,1,RS
1,2,2020,2,RU
15,3,2020,1,RW
3,3,2020,1,SA
16,10,2020,2,SB
15,3,2020,2,SC
14,3,2020,1,SD
5,2,2020,1,SE
24,1,2020,3,SG
5,3,2020,1,SI
7,3,2020,1,SK
1,4,2020,1,SL
28,2,2020,1,SM
3,3,2020,1,SN
17,3,2020,1,SO
15,3,2020,1,SR
6,4,2020,1,SS
9,4,2020,4,ST
19,3,2020,1,SV
3,3,2020,1,SX
23,3,2020,1,SY
15,3,2020,1,SZ
25,3,2020,1,TC
20,3,2020,1,TD
7,3,2020,1,TG
13,1,2020,1,TH
1,5,2020,15,TJ
22,3,2020,1,TL
3,3,2020,1,TN
12,3,2020,1,TR
13,3,2020,1,TT
21,1,2020,1,TW
17,3,2020,1,TZ
4,3,2020,1,UA
22,3,2020,1,UG
1,2,2020,2,UK
21,1,2020,1,US
15,3,2020,6,UY
16,3,2020,6,UZ
7,3,2020,1,VA
13,3,2020,1,VC
15,3,2020,10,VE
27,3,2020,2,VG
24,3,2020,17,VI
24,1,2020,2,VN
11,11,2020,1,VU
17,10,2020,1,WF
14,3,2020,2,XK
10,4,2020,1,YE
6,3,2020,1,ZA
19,3,2020,2,ZM
21,3,2020,1,ZW
